"REF_DATE","GEO","DGUID","Type of currency","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01-01","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-02","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-03","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9196","","","","4"
"2023-01-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9256","","","","4"
"2023-01-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9171","","","","4"
"2023-01-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9220","","","","4"
"2023-01-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9274","","","","4"
"2023-01-10","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9241","","","","4"
"2023-01-11","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9265","","","","4"
"2023-01-12","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9303","","","","4"
"2023-01-13","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9326","","","","4"
"2023-01-14","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-15","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-16","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9321","","","","4"
"2023-01-17","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9343","","","","4"
"2023-01-18","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9391","","","","4"
"2023-01-19","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9300","","","","4"
"2023-01-20","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9331","","","","4"
"2023-01-21","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-22","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-23","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9383","","","","4"
"2023-01-24","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9409","","","","4"
"2023-01-25","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9490","","","","4"
"2023-01-26","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9486","","","","4"
"2023-01-27","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9462","","","","4"
"2023-01-28","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-29","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-01-30","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9443","","","","4"
"2023-01-31","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9401","","","","4"
"2023-02-01","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9435","","","","4"
"2023-02-02","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9445","","","","4"
"2023-02-03","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9317","","","","4"
"2023-02-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9247","","","","4"
"2023-02-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9300","","","","4"
"2023-02-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9318","","","","4"
"2023-02-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9351","","","","4"
"2023-02-10","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9252","","","","4"
"2023-02-11","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-12","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-13","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9284","","","","4"
"2023-02-14","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9311","","","","4"
"2023-02-15","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9238","","","","4"
"2023-02-16","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9256","","","","4"
"2023-02-17","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9254","","","","4"
"2023-02-18","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-19","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-20","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-21","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9278","","","","4"
"2023-02-22","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9234","","","","4"
"2023-02-23","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9222","","","","4"
"2023-02-24","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9168","","","","4"
"2023-02-25","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-26","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-02-27","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9135","","","","4"
"2023-02-28","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9173","","","","4"
"2023-03-01","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9196","","","","4"
"2023-03-02","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9152","","","","4"
"2023-03-03","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9197","","","","4"
"2023-03-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-03-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-03-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9165","","","","4"
"2023-03-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9071","","","","4"
"2023-03-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9096","","","","4"
"2023-03-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9114","","","","4"
"2023-03-10","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9119","","","","4"
"2023-03-11","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-03-12","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-03-13","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9159","","","","4"
"2023-03-14","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9131","","","","4"
"2023-03-15","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9120","","","","4"
"2023-03-16","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9138","","","","4"
"2023-03-17","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9196","","","","4"
"2023-03-18","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-03-19","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-03-20","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9179","","","","4"
"2023-03-21","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9135","","","","4"
"2023-03-22","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9171","","","","4"
"2023-03-23","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9169","","","","4"
"2023-03-24","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9142","","","","4"
"2023-03-25","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-03-26","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-03-27","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9091","","","","4"
"2023-03-28","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9124","","","","4"
"2023-03-29","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9070","","","","4"
"2023-03-30","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9071","","","","4"
"2023-03-31","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9060","","","","4"
"2023-04-01","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-02","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-03","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9107","","","","4"
"2023-04-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9065","","","","4"
"2023-04-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9036","","","","4"
"2023-04-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8995","","","","4"
"2023-04-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-10","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8972","","","","4"
"2023-04-11","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8971","","","","4"
"2023-04-12","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9002","","","","4"
"2023-04-13","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9050","","","","4"
"2023-04-14","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8982","","","","4"
"2023-04-15","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-16","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-17","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8971","","","","4"
"2023-04-18","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9008","","","","4"
"2023-04-19","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9034","","","","4"
"2023-04-20","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9089","","","","4"
"2023-04-21","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9062","","","","4"
"2023-04-22","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-23","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-24","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9055","","","","4"
"2023-04-25","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9033","","","","4"
"2023-04-26","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9000","","","","4"
"2023-04-27","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9009","","","","4"
"2023-04-28","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8968","","","","4"
"2023-04-29","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-04-30","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-01","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8996","","","","4"
"2023-05-02","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9087","","","","4"
"2023-05-03","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9084","","","","4"
"2023-05-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9066","","","","4"
"2023-05-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9049","","","","4"
"2023-05-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9068","","","","4"
"2023-05-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9048","","","","4"
"2023-05-10","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9055","","","","4"
"2023-05-11","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9035","","","","4"
